product,tag
almalinux,os
alpine,os
amazon-corretto,lang
amazon-linux,os
amazon-rds-mysql,service
android,os
angular,framework
ansible-core,framework
ansible,app
antix,os
apache-airflow,framework
apache-camel,framework
apache-cassandra,db
apache-groovy,lang
apache,server-app
maven,app
api-platform,framework
azul-zulu,lang
azure-devops-server,server-app
azure-kubernetes-service,service
beats,server-app
blender,app
bootstrap,framework
cakephp,framework
centos,os
cfengine,app
citrix-vad,app
clamav,app
coldfusion,server-app
composer,app
confluence,server-app
consul,server-app
contao,server-app
cos,os
couchbase-server,db
debian,os
devuan,os
django,framework
docker-engine,app
dotnet,framework
dotnetfx,framework
drupal,server-app
drush,app
eclipse-temurin,lang
amazon-eks,service
elasticsearch,db
electron,framework
elixir,lang
emberjs,framework
eurolinux,os
fairphone,device
fedora,os
ffmpeg,framework
filemaker,app
firefox,app
fortios,os
freebsd,os
gerrit,server-app
gitlab,server-app
google-kubernetes-engine,service
go,lang
godot,app
gorilla,framework
graalvm,lang
gradle,app
grafana,server-app
grails,framework
haproxy,server-app
hashicorp-vault,server-app
hbase,server-app
intel-processors,device
internet-explorer,app
ionic,framework
ios,os
ipad,device
ipados,os
iphone,device
java,lang
jekyll,app
jenkins,server-app
jhipster,app
jira-software,server-app
joomla,server-app
jquery,framework
jreleaser,app
kde-plasma,os
keycloak,server-app
kibana,server-app
kindle,device
kotlin,lang
kubernetes,server-app
laravel,framework
libreoffice,app
lineageos,os
linux,os
linuxmint,os
log4j,framework
logstash,server-app
looker,server-app
macos,os
mageia,os
magento,server-app
mariadb,db
mastodon,server-app
mattermost,server-app
mediawiki,server-app
micronaut,framework
mongodb,db
moodle,server-app
msexchange,server-app
sharepoint,server-app
mssqlserver,db
mulesoft-runtime,server-app
mxlinux,os
mysql,db
neo4j,db
netbsd,os
nextcloud,server-app
nexus,server-app
nginx,server-app
nix,app
nixos,os
nodejs,framework
nokia,device
nomad,server-app
numpy,framework
nutanix-aos,os
nutanix-files,server-app
nutanix-prism,server-app
nvidia,app
nvidia-gpu,device
office,app
openbsd,os
opensearch,db
openssl,framework
opensuse,os
openwrt,os
openzfs,app
oracle-database,db
oraclelinux,os
cortex-xdr,app
pangp,app
panos,os
pci-dss,standard
perl,lang
php,lang
phpmyadmin,server-app
pixel,device
plesk,server-app
pop_os,os
postfix,server-app
postgresql,db
powershell,lang
proxmox-ve,os
python,lang
qt,framework
quarkus-framework,framework
rabbitmq,server-app
raspberry-pi,device
react,framework
readynas,device
rhel,os
redis,db
redmine,server-app
rocky-linux,os
ros,os
roundcube,server-app
rails,framework
ruby,lang
samsung-mobile,device
redhat-satellite,server-app
scala,lang
slackware,os
sles,os
solr,server-app
sonar,server-app
splunk,server-app
spring-boot,framework
spring-framework,framework
sqlite,db
surface,device
symfony,framework
tails,os
tarantool,db
telegraf,server-app
terraform,app
tomcat,server-app
twig,framework
typo3,server-app
ubuntu,os
unity,app
unrealircd,server-app
varnish,server-app
visual-cobol,lang
visual-studio,app
esxi,os
horizon,app
photon,os
vmware-srm,server-app
vcenter,app
vue,framework
wagtail,framework
watchos,os
windows,os
windows-embedded,os
windows-server,os
wordpress,server-app
xcp-ng,os
yocto,os
zabbix,server-app
zookeeper,server-app
